name,team,year,salary_aav_usd,war_tminus1,service_years_tminus1,salary_tminus1,team_payroll_tminus1,contract_phase_tminus1,pred_salary,residual
Shohei Ohtani,LAA,2023,30000000.0,3.6,5.0,5500000.0,124501403.0,arb,7494808.207025531,22505191.79297447
Marcus Semien,TEX,2023,26000000.0,4.4,10.0,25000000.0,118264043.0,fa,4763066.753073924,21236933.246926077
Carlos Correa,MIN,2023,36000000.0,4.6,7.0,35100000.0,129930702.0,fa,15698703.78692933,20301296.21307067
Julio Rodriguez,SEA,2023,21190349.0,5.7,1.0,2250850.0,100951738.0,pre_arb,2359860.200626165,18830488.799373835
Corey Seager,TEX,2023,35000000.0,4.3,7.0,37500000.0,118264043.0,fa,16380087.61493652,18619912.38506348
Javier Baez,DET,2023,22000000.0,2.0,7.0,20000000.0,118298806.0,fa,3948219.4705601064,18051780.529439893
Juan Soto,SDP,2023,23000000.0,3.7,5.0,6013184.0,118264043.0,arb,5954802.012024829,17045197.987975173
Trea Turner,PHI,2023,27272727.0,6.4,6.0,21000000.0,176820959.0,fa,11112736.998061731,16159990.001938269
Alex Bregman,HOU,2023,28500000.0,5.4,6.0,11000000.0,163727465.0,fa,12707550.085679097,15792449.914320903
Nick Castellanos,PHI,2023,20000000.0,-0.2,9.0,20000000.0,176820959.0,fa,4546737.86944869,15453262.13055131
Xander Bogaerts,SDP,2023,30000000.0,6.0,9.0,20000000.0,118264043.0,fa,16381207.337199101,13618792.662800899
Francisco Lindor,NYM,2023,27000000.0,6.4,7.0,27000000.0,227698309.0,fa,15100458.589859182,11899541.410140818
J.T. Realmuto,PHI,2023,23875000.0,6.7,5.0,23875000.0,176820959.0,fa,12590729.013344642,11284270.986655358
Dansby Swanson,CHC,2023,20000000.0,6.6,6.0,10000000.0,128641230.0,fa,8724918.375922069,11275081.624077931
Paul Goldschmidt,STL,2023,26000000.0,6.8,11.0,26300000.0,146943990.0,fa,14821835.79546038,11178164.20453962
